"","byhour","Freq"
"510","1492837200",15
"511","1492840800",51
"512","1492844400",128
"513","1492848000",312
"514","1492851600",464
"515","1492855200",575
"516","1492858800",688
"517","1492862400",762
"518","1492866000",768
"519","1492869600",803
"520","1492873200",762
"521","1492876800",777
"522","1492880400",703
"523","1492884000",618
"524","1492887600",432
"525","1492891200",203
"526","1492894800",162
"527","1492898400",107
"528","1492902000",89
"529","1492905600",65
"530","1492909200",47
"531","1492912800",42
"532","1492916400",22
"533","1492920000",10
"534","1492923600",14
"535","1492927200",60
"536","1492930800",99
"537","1492934400",267
"538","1492938000",461
"539","1492941600",643
"540","1492945200",952
"541","1492948800",1170
"542","1492952400",1306
"543","1492956000",1317
"544","1492959600",1323
"545","1492963200",1300
"546","1492966800",1125
"547","1492970400",808
"548","1492974000",528
"549","1492977600",348
"550","1492981200",165
"551","1492984800",96
"552","1492988400",48
"553","1492992000",29
"554","1492995600",17
"555","1492999200",9
"556","1493002800",10
"557","1493006400",8
"558","1493010000",96
"559","1493013600",372
"560","1493017200",879
"561","1493020800",1204
"562","1493024400",521
"563","1493028000",341
"564","1493031600",479
"565","1493035200",530
"566","1493038800",566
"567","1493042400",531
"568","1493046000",696
"569","1493049600",1222
"570","1493053200",1867
"571","1493056800",1161
"572","1493060400",757
"573","1493064000",426
"574","1493067600",232
"575","1493071200",136
"576","1493074800",70
"577","1493078400",33
"578","1493082000",12
"579","1493085600",15
"580","1493089200",10
"581","1493092800",23
"582","1493096400",130
"583","1493100000",472
"584","1493103600",1077
"585","1493107200",1328
"586","1493110800",599
"587","1493114400",418
"588","1493118000",553
"589","1493121600",691
"590","1493125200",640
"591","1493128800",587
"592","1493132400",719
"593","1493136000",1321
"594","1493139600",2103
"595","1493143200",1374
"596","1493146800",921
"597","1493150400",512
"598","1493154000",345
"599","1493157600",202
"600","1493161200",119
"601","1493164800",86
"602","1493168400",40
"603","1493172000",15
"604","1493175600",19
"605","1493179200",23
"606","1493182800",118
"607","1493186400",470
"608","1493190000",1072
"609","1493193600",1336
"610","1493197200",570
"611","1493200800",412
"612","1493204400",452
"613","1493208000",521
"614","1493211600",508
"615","1493215200",430
"616","1493218800",622
"617","1493222400",1203
"618","1493226000",1727
"619","1493229600",1035
"620","1493233200",659
"621","1493236800",438
"622","1493240400",106
"623","1493244000",41
"624","1493247600",21
"625","1493251200",13
"626","1493254800",11
"627","1493258400",8
"628","1493262000",8
"629","1493265600",8
"630","1493269200",69
"631","1493272800",193
"632","1493276400",526
"633","1493280000",793
"634","1493283600",355
"635","1493287200",235
"636","1493290800",308
"637","1493294400",288
"638","1493298000",269
"639","1493301600",259
"640","1493305200",342
"641","1493308800",681
"642","1493312400",1101
"643","1493316000",630
"644","1493319600",389
"645","1493323200",206
"646","1493326800",179
"647","1493330400",136
"648","1493334000",58
"649","1493337600",43
"650","1493341200",21
"651","1493344800",9
"652","1493348400",6
"653","1493352000",12
"654","1493355600",71
"655","1493359200",308
"656","1493362800",773
"657","1493366400",1077
"658","1493370000",526
"659","1493373600",326
"660","1493377200",412
"661","1493380800",471
"662","1493384400",442
"663","1493388000",394
"664","1493391600",518
"665","1493395200",958
"666","1493398800",1225
"667","1493402400",696
"668","1493406000",405
"669","1493409600",261
"670","1493413200",177
"671","1493416800",158
"672","1493420400",104
"673","1493424000",67
"674","1493427600",43
"675","1493431200",25
"676","1493434800",19
"677","1493438400",15
"678","1493442000",14
"679","1493445600",39
"680","1493449200",134
"681","1493452800",205
"682","1493456400",254
"683","1493460000",297
"684","1493463600",323
"685","1493467200",158
"686","1493470800",78
"687","1493474400",63
"688","1493478000",36
"689","1493481600",33
"690","1493485200",24
"691","1493488800",11
"692","1493492400",10
"693","1493496000",8
"694","1493499600",7
"695","1493503200",7
"696","1493506800",9
"697","1493510400",19
"698","1493514000",13
"699","1493517600",16
"700","1493521200",10
"701","1493524800",7
"702","1493528400",4
"703","1493532000",7
"704","1493535600",24
"705","1493539200",29
"706","1493542800",50
"707","1493546400",94
"708","1493550000",83
"709","1493553600",105
"710","1493557200",144
"711","1493560800",166
"712","1493564400",204
"713","1493568000",209
"714","1493571600",181
"715","1493575200",110
"716","1493578800",36
"717","1493582400",36
"718","1493586000",41
"719","1493589600",24
"720","1493593200",10
"721","1493596800",9
"722","1493600400",5
"723","1493604000",9
"724","1493607600",5
"725","1493611200",10
"726","1493614800",84
"727","1493618400",304
"728","1493622000",656
"729","1493625600",1063
"730","1493629200",427
"731","1493632800",212
"732","1493636400",286
"733","1493640000",339
"734","1493643600",292
"735","1493647200",214
"736","1493650800",243
"737","1493654400",661
"738","1493658000",861
"739","1493661600",371
"740","1493665200",215
"741","1493668800",121
"742","1493672400",81
"743","1493676000",65
"744","1493679600",36
"745","1493683200",24
"746","1493686800",9
"747","1493690400",4
"748","1493694000",8
"749","1493697600",9
"750","1493701200",69
"751","1493704800",225
"752","1493708400",519
"753","1493712000",683
"754","1493715600",343
"755","1493719200",238
"756","1493722800",246
"757","1493726400",300
"758","1493730000",278
"759","1493733600",271
"760","1493737200",401
"761","1493740800",811
"762","1493744400",1229
"763","1493748000",635
"764","1493751600",414
"765","1493755200",237
"766","1493758800",189
"767","1493762400",127
"768","1493766000",71
"769","1493769600",28
"770","1493773200",20
"771","1493776800",7
"772","1493780400",7
"773","1493784000",14
"774","1493787600",97
"775","1493791200",360
"776","1493794800",894
"777","1493798400",1158
"778","1493802000",517
"779","1493805600",309
"780","1493809200",377
"781","1493812800",392
"782","1493816400",398
"783","1493820000",361
"784","1493823600",524
"785","1493827200",953
"786","1493830800",1490
"787","1493834400",873
"788","1493838000",545
"789","1493841600",321
"790","1493845200",240
"791","1493848800",186
"792","1493852400",89
"793","1493856000",48
"794","1493859600",35
"795","1493863200",4
"796","1493866800",2
"797","1493870400",16
"798","1493874000",108
"799","1493877600",329
"800","1493881200",724
"801","1493884800",1034
"802","1493888400",420
"803","1493892000",246
"804","1493895600",328
"805","1493899200",363
"806","1493902800",318
"807","1493906400",303
"808","1493910000",401
"809","1493913600",855
"810","1493917200",1231
"811","1493920800",775
"812","1493924400",517
"813","1493928000",312
"814","1493931600",219
"815","1493935200",126
"816","1493938800",87
"817","1493942400",49
"818","1493946000",17
"819","1493949600",15
"820","1493953200",10
"821","1493956800",18
"822","1493960400",78
"823","1493964000",310
"824","1493967600",645
"825","1493971200",889
"826","1493974800",404
"827","1493978400",252
"828","1493982000",326
"829","1493985600",339
"830","1493989200",366
"831","1493992800",379
"832","1493996400",551
"833","1.494e+09",953
"834","1494003600",1172
"835","1494007200",661
"836","1494010800",483
"837","1494014400",260
"838","1494018000",158
"839","1494021600",116
"840","1494025200",90
"841","1494028800",63
"842","1494032400",44
"843","1494036000",27
"844","1494039600",24
"845","1494043200",10
"846","1494046800",19
"847","1494050400",55
"848","1494054000",134
"849","1494057600",233
"850","1494061200",361
"851","1494064800",448
"852","1494068400",569
"853","1494072000",692
"854","1494075600",712
"855","1494079200",757
"856","1494082800",812
"857","1494086400",707
"858","1494090000",594
"859","1494093600",489
"860","1494097200",366
"861","1494100800",216
"862","1494104400",169
"863","1494108000",155
"864","1494111600",87
"865","1494115200",57
"866","1494118800",43
"867","1494122400",31
"868","1494126000",14
"869","1494129600",20
"870","1494133200",17
"871","1494136800",32
"872","1494140400",83
"873","1494144000",211
"874","1494147600",332
"875","1494151200",492
"876","1494154800",575
"877","1494158400",758
"878","1494162000",775
"879","1494165600",727
"880","1494169200",679
"881","1494172800",663
"882","1494176400",624
"883","1494180000",450
"884","1494183600",316
"885","1494187200",182
"886","1494190800",118
"887","1494194400",95
"888","1494198000",42
"889","1494201600",25
"890","1494205200",20
"891","1494208800",7
"892","1494212400",4
"893","1494216000",7
"894","1494219600",96
"895","1494223200",350
"896","1494226800",835
"897","1494230400",1104
"898","1494234000",463
"899","1494237600",304
"900","1494241200",433
"901","1494244800",416
"902","1494248400",417
"903","1494252000",413
"904","1494255600",550
"905","1494259200",950
"906","1494262800",1426
"907","1494266400",933
"908","1494270000",527
"909","1494273600",267
"910","1494277200",186
"911","1494280800",91
"912","1494284400",24
"913","1494288000",11
"914","1494291600",5
"915","1494295200",3
"916","1494298800",3
"917","1494302400",5
"918","1494306000",50
"919","1494309600",208
"920","1494313200",547
"921","1494316800",615
"922","1494320400",304
"923","1494324000",210
"924","1494327600",293
"925","1494331200",336
"926","1494334800",347
"927","1494338400",327
"928","1494342000",459
"929","1494345600",895
"930","1494349200",1458
"931","1494352800",892
"932","1494356400",562
"933","1494360000",300
"934","1494363600",229
"935","1494367200",139
"936","1494370800",66
"937","1494374400",30
"938","1494378000",14
"939","1494381600",5
"940","1494385200",6
"941","1494388800",19
"942","1494392400",103
"943","1494396000",419
"944","1494399600",960
"945","1494403200",1223
"946","1494406800",503
"947","1494410400",356
"948","1494414000",466
"949","1494417600",494
"950","1494421200",513
"951","1494424800",162
"952","1494428400",255
"953","1494432000",578
"954","1494435600",995
"955","1494439200",596
"956","1494442800",96
"957","1494446400",20
"958","1494450000",18
"959","1494453600",49
"960","1494457200",35
"961","1494460800",18
"962","1494464400",8
"963","1494468000",8
"964","1494471600",8
"965","1494475200",13
"966","1494478800",113
"967","1494482400",349
"968","1494486000",858
"969","1494489600",1060
"970","1494493200",513
"971","1494496800",345
"972","1494500400",401
"973","1494504000",447
"974","1494507600",463
"975","1494511200",436
"976","1494514800",631
"977","1494518400",1115
"978","1494522000",1696
"979","1494525600",1126
"980","1494529200",776
"981","1494532800",511
"982","1494536400",314
"983","1494540000",184
"984","1494543600",122
"985","1494547200",46
"986","1494550800",23
"987","1494554400",19
"988","1494558000",11
"989","1494561600",17
"990","1494565200",105
"991","1494568800",391
"992","1494572400",937
"993","1494576000",1166
"994","1494579600",585
"995","1494583200",469
"996","1494586800",633
"997","1494590400",699
"998","1494594000",748
"999","1494597600",779
"1000","1494601200",954
"1001","1494604800",1500
"1002","1494608400",1592
"1003","1494612000",999
"1004","1494615600",650
"1005","1494619200",393
"1006","1494622800",248
"1007","1494626400",193
"1008","1494630000",120
"1009","1494633600",82
"1010","1494637200",67
"1011","1494640800",59
"1012","1494644400",22
"1013","1494648000",22
"1014","1494651600",20
"1015","1494655200",72
"1016","1494658800",189
"1017","1494662400",393
"1018","1494666000",650
"1019","1494669600",882
"1020","1494673200",1170
"1021","1494676800",1332
"1022","1494680400",1458
"1023","1494684000",1401
"1024","1494687600",1316
"1025","1494691200",1265
"1026","1494694800",1302
"1027","1494698400",1055
"1028","1494702000",893
"1029","1494705600",595
"1030","1494709200",356
"1031","1494712800",237
"1032","1494716400",177
"1033","1494720000",111
"1034","1494723600",75
"1035","1494727200",75
"1036","1494730800",29
"1037","1494734400",24
"1038","1494738000",24
"1039","1494741600",69
"1040","1494745200",155
"1041","1494748800",336
"1042","1494752400",561
"1043","1494756000",859
"1044","1494759600",964
"1045","1494763200",1154
"1046","1494766800",1204
"1047","1494770400",1156
"1048","1494774000",1108
"1049","1494777600",967
"1050","1494781200",790
"1051","1494784800",604
"1052","1494788400",498
"1053","1494792000",277
"1054","1494795600",196
"1055","1494799200",109
"1056","1494802800",47
"1057","1494806400",36
"1058","1494810000",16
"1059","1494813600",7
"1060","1494817200",5
"1061","1494820800",13
"1062","1494824400",108
"1063","1494828000",447
"1064","1494831600",987
"1065","1494835200",1254
"1066","1494838800",600
"1067","1494842400",452
"1068","1494846000",600
"1069","1494849600",695
"1070","1494853200",720
"1071","1494856800",708
"1072","1494860400",896
"1073","1494864000",1483
"1074","1494867600",2195
"1075","1494871200",1406
"1076","1494874800",978
"1077","1494878400",574
"1078","1494882000",381
"1079","1494885600",184
"1080","1494889200",110
"1081","1494892800",33
"1082","1494896400",18
"1083","1494900000",10
"1084","1494903600",7
"1085","1494907200",19
"1086","1494910800",156
"1087","1494914400",542
"1088","1494918000",1172
"1089","1494921600",1380
"1090","1494925200",631
"1091","1494928800",491
"1092","1494932400",643
"1093","1494936000",721
"1094","1494939600",692
"1095","1494943200",709
"1096","1494946800",823
"1097","1494950400",1419
"1098","1494954000",2162
"1099","1494957600",1635
"1100","1494961200",1100
"1101","1494964800",691
"1102","1494968400",500
"1103","1494972000",398
"1104","1494975600",214
"1105","1494979200",82
"1106","1494982800",34
"1107","1494986400",15
"1108","1494990000",22
"1109","1494993600",23
"1110","1494997200",148
"1111","1495000800",569
"1112","1495004400",1126
"1113","1495008000",1359
"1114","1495011600",636
"1115","1495015200",476
"1116","1495018800",548
"1117","1495022400",630
"1118","1495026000",592
"1119","1495029600",660
"1120","1495033200",691
"1121","1495036800",1308
"1122","1495040400",1941
"1123","1495044000",1296
"1124","1495047600",850
"1125","1495051200",515
"1126","1495054800",344
"1127","1495058400",315
"1128","1495062000",115
"1129","1495065600",47
"1130","1495069200",21
"1131","1495072800",12
"1132","1495076400",12
"1133","1495080000",15
"1134","1495083600",125
"1135","1495087200",507
"1136","1495090800",1000
"1137","1495094400",1275
"1138","1495098000",640
"1139","1495101600",448
"1140","1495105200",597
"1141","1495108800",650
"1142","1495112400",653
"1143","1495116000",675
"1144","1495119600",909
"1145","1495123200",1539
"1146","1495126800",2065
"1147","1495130400",1492
"1148","1495134000",952
"1149","1495137600",467
"1150","1495141200",247
"1151","1495144800",184
"1152","1495148400",82
"1153","1495152000",44
"1154","1495155600",18
"1155","1495159200",10
"1156","1495162800",7
"1157","1495166400",11
"1158","1495170000",103
"1159","1495173600",318
"1160","1495177200",692
"1161","1495180800",843
"1162","1495184400",315
"1163","1495188000",101
"1164","1495191600",201
"1165","1495195200",294
"1166","1495198800",302
"1167","1495202400",232
"1168","1495206000",165
"1169","1495209600",367
"1170","1495213200",647
"1171","1495216800",363
"1172","1495220400",268
"1173","1495224000",165
"1174","1495227600",151
"1175","1495231200",111
"1176","1495234800",95
"1177","1495238400",72
"1178","1495242000",40
"1179","1495245600",29
"1180","1495249200",13
"1181","1495252800",11
"1182","1495256400",16
"1183","1495260000",44
"1184","1495263600",118
"1185","1495267200",140
"1186","1495270800",212
"1187","1495274400",87
"1188","1495278000",68
"1189","1495281600",203
"1190","1495285200",261
"1191","1495288800",339
"1192","1495292400",447
"1193","1495296000",521
"1194","1495299600",610
