"","duration_sub","Freq"
"860","919",451
"861","920",467
"862","921",471
"863","922",445
"864","923",445
"865","924",501
"866","925",461
"867","926",438
"868","927",498
"869","928",488
"870","929",551
"871","930",480
"872","931",434
"873","932",444
"874","933",471
"875","934",487
"876","935",449
"877","936",423
"878","937",480
"879","938",458
"880","939",465
"881","940",462
"882","941",446
"883","942",475
"884","943",488
"885","944",401
"886","945",453
"887","946",451
"888","947",456
"889","948",444
"890","949",424
"891","950",468
"892","951",415
"893","952",475
"894","953",414
"895","954",454
"896","955",452
"897","956",461
"898","957",451
"899","958",443
"900","959",462
"901","960",456
"902","961",440
"903","962",424
"904","963",444
"905","964",472
"906","965",446
"907","966",442
"908","967",447
"909","968",448
"910","969",474
"911","970",427
"912","971",433
"913","972",420
"914","973",420
"915","974",427
"916","975",394
"917","976",403
"918","977",445
"919","978",427
"920","979",412
"921","980",437
"922","981",423
"923","982",399
"924","983",441
"925","984",417
"926","985",421
"927","986",414
"928","987",435
"929","988",421
"930","989",430
"931","990",405
"932","991",376
"933","992",440
"934","993",437
"935","994",426
"936","995",405
"937","996",428
"938","997",421
"939","998",416
"940","999",386
"941","1000",396
"942","1001",397
"943","1002",420
"944","1003",442
"945","1004",415
"946","1005",371
"947","1006",375
"948","1007",434
"949","1008",401
"950","1009",407
"951","1010",377
"952","1011",433
"953","1012",411
"954","1013",405
"955","1014",394
"956","1015",394
"957","1016",418
"958","1017",370
"959","1018",433
"960","1019",407
"961","1020",395
"962","1021",357
"963","1022",393
"964","1023",409
"965","1024",383
"966","1025",350
"967","1026",405
"968","1027",393
"969","1028",398
"970","1029",406
"971","1030",382
"972","1031",367
"973","1032",383
"974","1033",349
"975","1034",390
"976","1035",420
"977","1036",401
"978","1037",394
"979","1038",417
"980","1039",342
"981","1040",381
"982","1041",350
"983","1042",414
"984","1043",375
"985","1044",404
"986","1045",383
"987","1046",368
"988","1047",351
"989","1048",392
"990","1049",371
"991","1050",349
"992","1051",373
"993","1052",364
"994","1053",392
"995","1054",385
"996","1055",391
"997","1056",361
"998","1057",367
"999","1058",366
"1000","1059",356
"1001","1060",393
"1002","1061",363
"1003","1062",376
"1004","1063",356
"1005","1064",399
"1006","1065",347
"1007","1066",328
"1008","1067",366
"1009","1068",361
"1010","1069",347
"1011","1070",346
"1012","1071",360
"1013","1072",353
"1014","1073",386
"1015","1074",355
"1016","1075",328
"1017","1076",333
"1018","1077",362
"1019","1078",349
"1020","1079",305
"1021","1080",356
"1022","1081",328
"1023","1082",356
"1024","1083",373
"1025","1084",345
"1026","1085",324
"1027","1086",350
"1028","1087",360
"1029","1088",351
"1030","1089",304
"1031","1090",319
"1032","1091",332
"1033","1092",378
"1034","1093",354
"1035","1094",329
"1036","1095",343
"1037","1096",398
"1038","1097",329
"1039","1098",330
"1040","1099",317
"1041","1100",357
"1042","1101",317
"1043","1102",324
"1044","1103",360
"1045","1104",317
"1046","1105",308
"1047","1106",346
"1048","1107",342
"1049","1108",351
"1050","1109",384
"1051","1110",316
"1052","1111",318
"1053","1112",351
"1054","1113",324
"1055","1114",346
"1056","1115",348
"1057","1116",312
"1058","1117",322
"1059","1118",319
"1060","1119",340
"1061","1120",346
"1062","1121",325
"1063","1122",326
"1064","1123",325
"1065","1124",297
"1066","1125",314
"1067","1126",323
"1068","1127",333
"1069","1128",350
"1070","1129",330
"1071","1130",335
"1072","1131",308
"1073","1132",321
"1074","1133",330
"1075","1134",296
"1076","1135",339
"1077","1136",297
"1078","1137",350
"1079","1138",332
"1080","1139",319
"1081","1140",299
"1082","1141",339
"1083","1142",285
"1084","1143",324
"1085","1144",301
"1086","1145",318
"1087","1146",330
"1088","1147",308
"1089","1148",326
"1090","1149",305
"1091","1150",329
"1092","1151",307
"1093","1152",317
"1094","1153",280
"1095","1154",343
"1096","1155",318
"1097","1156",298
"1098","1157",298
"1099","1158",295
"1100","1159",312
"1101","1160",314
"1102","1161",291
"1103","1162",305
"1104","1163",287
"1105","1164",298
"1106","1165",330
"1107","1166",331
"1108","1167",351
"1109","1168",297
"1110","1169",321
"1111","1170",327
"1112","1171",298
"1113","1172",285
"1114","1173",313
"1115","1174",268
"1116","1175",308
"1117","1176",295
"1118","1177",306
"1119","1178",301
"1120","1179",298
"1121","1180",282
"1122","1181",308
"1123","1182",287
"1124","1183",296
"1125","1184",328
"1126","1185",274
"1127","1186",306
"1128","1187",260
"1129","1188",274
"1130","1189",276
"1131","1190",302
"1132","1191",288
"1133","1192",299
"1134","1193",289
"1135","1194",267
"1136","1195",282
"1137","1196",261
"1138","1197",263
"1139","1198",279
"1140","1199",290
"1141","1200",298
"1142","1201",267
"1143","1202",290
"1144","1203",289
"1145","1204",292
"1146","1205",265
"1147","1206",288
"1148","1207",272
"1149","1208",289
"1150","1209",265
"1151","1210",280
"1152","1211",304
"1153","1212",289
"1154","1213",293
"1155","1214",265
"1156","1215",254
"1157","1216",279
"1158","1217",262
"1159","1218",304
"1160","1219",290
"1161","1220",271
"1162","1221",264
"1163","1222",268
"1164","1223",298
"1165","1224",288
"1166","1225",289
"1167","1226",273
"1168","1227",279
"1169","1228",265
"1170","1229",259
"1171","1230",299
"1172","1231",276
"1173","1232",267
"1174","1233",295
"1175","1234",262
"1176","1235",263
"1177","1236",248
"1178","1237",280
"1179","1238",277
"1180","1239",287
"1181","1240",264
"1182","1241",275
"1183","1242",235
"1184","1243",266
"1185","1244",302
"1186","1245",259
